; x ;
1851;197,6;
1852;193;
1853;194,9;
1854;204,45;
1855;219,32;
1856;228,38;
1857;249,97;
1858;249,97;
1859;242,47;
1860;212,2;
1861;207,1;
1862;207;
1863;206,8;
1864;206,8;
1865;212;
1866;242,47;
1867;260;
1868;261,97;
1869;262,66;
1870;245;
1871;227,47;
1872;211,63;
1873;196,65;
1874;187,1;
1875;184,27;
1876;179,58;
1877;178,33;
1878;190,14;
1879;185,22;
1880;200,22;
1881;217,15;
1882;205,41;
1883;199,7;
1884;196,66;
1885;196,95;
1886;197,42;
1887;197,42;
1888;199,6;
1889;200,2;
1890;227,49;
1891;255;
1892;261,38;
1893;253,1;
1894;222,79;
1895;213,64;
1896;200,22;
1897;190;
1898;188,72;
1899;187,87;
