"","x"
"2052",71
"2053",158
"2054",126
"2055",133
"2056",120
"2057",104
"2058",96
"2059",93
"2060",80
"2061",62
"2062",33
"2063",13
"2064",1
"2065",3
"2066",0
"2067",0
"2068",0
"2069",0
"2070",0
"2071",7
"2072",24
"2073",78
"2074",119
"2075",113
"2076",135
"2077",116
"2078",117
"2079",129
"2080",126
"2081",101
"2082",103
"2083",92
"2084",71
"2085",33
"2086",10
"2087",3
"2088",0
"2089",3
"2090",2
"2091",0
"2092",0
"2093",0
"2094",0
"2095",3
"2096",18
"2097",71
"2098",118
"2099",131
"2100",86
"2101",143
"2102",116
"2103",143
"2104",128
"2105",95
"2106",71
"2107",47
"2108",45
"2109",41
"2110",21
"2111",8
"2112",2
"2113",3
"2114",0
"2115",0
"2116",0
"2117",0
"2118",0
"2119",3
"2120",20
"2121",56
"2122",114
"2123",108
"2124",89
"2125",137
"2126",129
"2127",118
"2128",105
"2129",63
"2130",61
"2131",47
"2132",23
"2133",13
"2134",3
"2135",0
"2136",0
"2137",3
"2138",0
"2139",0
"2140",0
"2141",0
"2142",0
"2143",1
"2144",2
"2145",0
"2146",0
"2147",8
"2148",13
"2149",0
"2150",0
"2151",7
"2152",3
"2153",6
"2154",3
"2155",1
"2156",0
"2157",0
"2158",0
"2159",0
"2160",2
"2161",5
"2162",3
"2163",1
"2164",0
"2165",0
"2166",0
"2167",1
"2168",2
"2169",0
"2170",0
"2171",6
"2172",13
"2173",0
"2174",0
"2175",7
"2176",3
"2177",7
"2178",3
"2179",1
"2180",0
"2181",0
"2182",0
"2183",0
"2184",1
"2185",0
"2186",0
"2187",0
"2188",0
"2189",1
"2190",2
"2191",7
"2192",26
"2193",89
"2194",134
"2195",149
"2196",99
"2197",138
"2198",123
"2199",120
"2200",129
"2201",101
"2202",90
"2203",99
"2204",88
"2205",35
"2206",10
"2207",4
"2208",0
"2209",4
"2210",0
"2211",0
"2212",0
"2213",0
"2214",0
"2215",11
"2216",34
"2217",86
"2218",147
"2219",152
"2220",76
"2221",134
"2222",112
"2223",119
"2224",102
"2225",107
"2226",84
"2227",92
"2228",70
"2229",59
"2230",31
"2231",13
"2232",1
"2233",3
"2234",0
"2235",0
"2236",0
"2237",0
"2238",0
"2239",7
"2240",25
"2241",86
"2242",129
"2243",122
"2244",156
"2245",113
"2246",103
"2247",131
"2248",150
"2249",117
"2250",101
"2251",89
"2252",68
"2253",36
"2254",10
"2255",3
"2256",0
"2257",3
"2258",2
"2259",0
"2260",0
"2261",0
"2262",0
"2263",4
"2264",20
"2265",64
"2266",115
"2267",135
"2268",91
"2269",155
